,通知内容,通知部门,通知时间
311,关于数学学院招聘教师拟聘用人员公示,数学学院,2022-01-04
312,关于转发《关于开展自助开通异地就医直接结算服务工作的通知》的通知,人力资源处,2022-01-04
313,关于组织我校教师参加东北师范大学培训部2022年春季外语培训工作的通知,人力资源处,2022-01-04
314,关于报送2021年吉林省优秀博士、硕士学位论文评选材料的通知,研究生院,2022-01-04
315,关于举办吉林大学第一届“兼职心理健康指导教师”聘任仪式暨第二期“心理育人创新研究论坛”的通知,学生心理健康指导中心,2022-01-04
316,校医院面向校内公开招聘科级干部的通知,校医院,2022-01-04
317,关于遴选2022年国家留学基金委与西班牙巴塞罗那自治大学合作奖学金项目候选人的通知,研究生院,2022-01-04
318,关于公布2021年特别渠道评审委员会专家库组成人员名单及申报人员做好汇报和答辩准备的通知,教师教学发展中心,2022-01-04
319,关于印发《吉林大学2022年消防安全工作方案》的通知,保卫处、党委保卫部,2022-01-04
320,关于校园卡系统实施无现金运行的通知,大数据和网络管理中心,2022-01-02
321,关于公布吉林大学2022年度公开招聘专业技术人员拟进入基本能力测试环节考生名单及开展基本能力测试的通知,人力资源处,2021-12-31
322,关于开展吉林大学2022年度公开招聘管理系列职员基本能力测试的通知,人力资源处,2021-12-31
323,关于开展2021年度全校基层党组织书记抓基层党建述职评议考核的通知,党委组织部,2021-12-31
324,关于聘任安泽胜等为吉林大学 “匡亚明／唐敖庆学者”的通知,人才工作办公室,2021-12-31
325,关于在中心校区体育馆开展疫苗接种通知,校医院,2021-12-31
326,关于王健免职的通知,党委组织部,2021-12-31
327,关于刘林林任职的通知,党委组织部,2021-12-31
328,关于张广翠等职务任免的通知,党委组织部,2021-12-31
329,关于做好元旦及寒假期间本（预）科学生管理工作的通知,党委学生工作部、党委武装部,2021-12-31
330,2021年度中电科电子装备集团有限公司 “烁科雏鹰”奖学金获奖研究生公示,研究生院,2021-12-31
331,关于吉林大学机电设计研究院、吉林大学科学技术中心相关业务变更事宜的通知,科研院,2021-12-31
332,关于开展第十七届中国青年科技奖候选人提名工作的通知,科研院,2021-12-31
333,关于开展第十八届中国青年女科学家奖和2021年度未来女科学家计划候选人提名工作的通知,科研院,2021-12-31
334,关于公示2022年课程思政“学科育人示范课程”项目立项名单的通知,教务处,2021-12-31
335,关于公布2020年课程思政“学科育人示范课程”项目验收结果的通知,教务处,2021-12-31
336,公开招聘吉林大学创新创业研究院人才派遣（Ⅰ类） 人员的通知,管理学院,2021-12-31
337,关于开展慰问帮扶老党员、生活困难党员工作的通知,党委组织部,2021-12-31
338,关于举办2022年吉林大学大学生艺术团新年音乐会的通知,团委,2021-12-31
339,关于转发《关于吉林省医疗保障信息平台2021年度年终结算有关工作的公告》的通知,人力资源处,2021-12-31
340,关于公布统一战线工作品牌创建工作优秀单位的通知,党委统战部,2021-12-31
341,关于元旦期间学生及教工餐厅开餐情况的通知,后勤服务集团,2021-12-31
342,关于2021年教师和专业技术职务聘任中层单位评审推荐阶段有关事宜的通知,人力资源处,2021-12-30
343,关于拟聘任（晋升）五、六级职员的公示,党委组织部,2021-12-30
344,关于加强2022年元旦及寒假期间研究生管理工作的通知,研究生院,2021-12-30
345,关于严明2022年元旦春节期间纪律要求的通知,纪委办公室,2021-12-30
346,关于吉林省第九批中小学正高级教师推荐人选的公示,附属学校管理办公室,2021-12-30
347,关于开展吉林大学第一届“最美导师” 评选活动的通知,研究生院,2021-12-30
348,关于举办2022年第三届吉林大学物理实验竞赛的通知,物理学院,2021-12-30
349,关于郭威等职务任免的通知,科研院,2021-12-30
350,关于新民校区突发停水的通知,后勤服务集团,2021-12-30
351,关于期末考试周期间关闭教学楼无线网络的通知,教务处,2021-12-30
352,关于贯彻落实“工作务虚会”制度的通知,党委组织部,2021-12-30
353,关于开展吉林大学大学生寒假“鼎新实习计划”（第三批）的通知,团委,2021-12-30
354,关于开展吉林大学大学生寒假“鼎新实习计划”（第二批）的通知,团委,2021-12-30
355,关于公布吉林大学本科实验教学中心评估结果的通知,教务处,2021-12-30
356,关于开展2021年度吉林大学就业工作先进集体和先进个人评选工作的通知,学生就业创业指导与服务中心,2021-12-30
357,关于2022年3月（第64次）全国计算机等级考试 报名工作的通知,考试中心,2021-12-30
358,关于《大学生心理健康》慕课学期总结研讨会暨“心理百科半月谈”第六十五期专题培训更改时间的通知,学生心理健康指导中心,2021-12-29
359,关于2022年元旦期间浴池营业时间安排的通知,后勤服务集团,2021-12-29
360,关于发布华为中央研究院技术需求的通知,科研院,2021-12-29
361,关于经济学院2021年公开招聘科级干部拟聘人选的公示,经济学院（金融学院）,2021-12-29
362,教学午餐会（总第59期）：同心同理 同向同行——三全育人与教学管理,教师教学发展中心,2021-12-29
363,关于对医学技术等9个学位授权点进行预警的决定,研究生院,2021-12-29
364,关于撤销声学等8个学位授权点的决定,研究生院,2021-12-29
365,关于撤销水利工程等2个一级学科学位授权点的决定,研究生院,2021-12-29
366,关于吉林大学遴选吉林省第四届名中医推荐对象公示的通知,白求恩医学部,2021-12-29
367,关于公示机械与航空航天工程学院团委书记岗位拟聘人选的通知,机械与航空航天工程学院,2021-12-29
368,关于填报吉林大学国家双创示范基地2021年调度数据的通知,教务处,2021-12-29
369,关于对申报2021年度特别渠道教师职务资格审核通过人员名单及申报材料进行网上公示的通知,教师教学发展中心,2021-12-29
370,关于调整教职工产假和护理假休假天数的通知,人力资源处,2021-12-29
371,关于举办吉林大学2021年研究生学科交叉融合学术活动之三十八——仿生3D打印金属材料和复合材料学术沙...,研究生院,2021-12-29
372,关于举办吉林大学2021年研究生学科交叉融合学术活动之三十七——多模态医疗健康数据治理主题讲座的通知,研究生院,2021-12-29
373,关于上报2022年上半年校外人员入校信息的通知,校长办公室,2021-12-29
374,关于马克思主义学院科级干部拟聘人选的公示,马克思主义学院,2021-12-29
375,关于公布吉林大学2019年度专业学位研究生课程案例库建设项目结题通过名单（第一批）的通知,研究生院,2021-12-29
376,关于2022年寒假期间办理仪器设备入账手续的通知,资产管理处,2021-12-28
377,关于推荐2022年度吉林大学—剑桥大学医学教师 全球胜任力提升工作坊培训教师的通知,白求恩医学部,2021-12-28
378,关于吉林大学2021年度第二批 “鼎新学者”拟聘人选公示的通知,人力资源处,2021-12-28
379,关于做好2021-2022学年第一学期期末考试考风考纪教育管理工作的通知,党委学生工作部、党委武装部,2021-12-28
380,关于开展“吉林大学历史名人纪念馆”提议入选人物材料报送工作的通知,档案馆,2021-12-28
381,人力资源处关于公开招聘工作人员的通知,人力资源处,2021-12-28
382,财务处关于2022年元旦后及寒假期间对外办公事项的通知,财务处,2021-12-28
383,关于开展2022年度定点帮扶项目立项申报工作的通知,工会,2021-12-28
384,关于聘任（晋升）丰裴培等为七、八级职员的通知,人力资源处,2021-12-28
385,关于于萌等七、八级职员岗位聘用的通知,人力资源处,2021-12-28
386,关于聘任李卿功等为七级职员的通知,人力资源处,2021-12-28
387,关于聘任邵天骄为八级职员的通知,人力资源处,2021-12-28
388,关于聘任杨秀云为八级职员的通知,人力资源处,2021-12-28
389,关于举行吉林大学2021年退休教职工荣休大会的通知,党委教师工作部,2021-12-28
390,关于开展吉林大学国家双创示范基地第五次评估工作的通知,教务处,2021-12-28
391,关于学校宗教工作领导小组成员单位提交工作总结的通知,党委统战部,2021-12-28
392,关于朱明等职务任免的通知,人力资源处,2021-12-28
393,关于组织学生参加“奋斗有我，‘就’在吉林”——大学生创业就业报告会的通知,校长办公室,2021-12-28
394,关于学校统一战线工作领导小组成员单位提交工作总结的通知,党委统战部,2021-12-28
395,转发《2022年度国家自然科学基金委员会与美国比尔及梅琳达•盖茨基金会“大挑战：户外疟疾媒介控制”合...,科研院,2021-12-28
396,关于公布2021-2022学年第一学期学生朋辈心理辅导员工作考评结果的通知,学生心理健康指导中心,2021-12-27
397,关于公布2021-2022学年第一学期“朋辈协力·心理成长”系列活动结项验收结果的通知,学生心理健康指导中心,2021-12-27
398,关于开展2022年吉林大学大学生创新创业暨志愿服务大赛的通知,团委,2021-12-27
399,关于学习贯彻学校第十五次党代会精神的通知,党委宣传部,2021-12-27
